method_name,evidence_package,status
ensureUser,005-postgres-single-instance-canary,cloud_verified
resolveAnonymousIdentity,005-postgres-single-instance-canary,cloud_verified
mergeAnonymousIntoAccount,004m-identity-merge-read,cloud_verified
getUserMerge,004m-identity-merge-read,cloud_verified
getMergeReview,004m-identity-merge-read,cloud_verified
releaseMergedSensitiveEvents,004m-identity-merge-read,cloud_verified
getProfile,004c-profile-versioning,cloud_verified
updateProfile,004c-profile-versioning,cloud_verified
listProfileRevisions,004c-profile-versioning,cloud_verified
recordActivity,004d-user-activity-settings,cloud_verified
getUserSettings,004d-user-activity-settings,cloud_verified
updateUserTimezone,004d-user-activity-settings,cloud_verified
getServiceStatus,004e-service-status,cloud_verified
setServiceStatus,004e-service-status,cloud_verified
listServiceTransitions,004e-service-status,cloud_verified
recordEnergyCalculation,004f-energy-calculations,cloud_verified
listEnergyCalculations,004f-energy-calculations,cloud_verified
createPlanDraft,004g-plan-lifecycle-core,cloud_verified
getPlan,004g-plan-lifecycle-core,cloud_verified
getActivePlan,004g-plan-lifecycle-core,cloud_verified
listPlans,004g-plan-lifecycle-core,cloud_verified
transitionPlan,004g-plan-lifecycle-core,cloud_verified
activateInitialPlanAndTrial,004h-initial-plan-trial-activation,cloud_verified
listPlanTransitions,004g-plan-lifecycle-core,cloud_verified
getPlanRevisionCommand,004i-plan-revision-command-persistence,cloud_verified
recordPlanRevisionCommand,004i-plan-revision-command-persistence,cloud_verified
enqueueDueRenewalReminders,004j-renewal-notification-queue,cloud_verified
listPendingNotifications,004j-renewal-notification-queue,cloud_verified
markNotificationSent,004j-renewal-notification-queue,cloud_verified
recordAdvice,004k-advice-history,cloud_verified
listAdviceHistory,004k-advice-history,cloud_verified
getUserDataSnapshot,004l-user-data-snapshot,cloud_verified
appendEvent,004l-user-data-snapshot,cloud_verified
getEvent,004l-user-data-snapshot,cloud_verified
listEvents,004l-user-data-snapshot,cloud_verified
recordConsent,004l-user-data-snapshot,cloud_verified
getLatestConsent,004l-user-data-snapshot,cloud_verified
